apartment_address,apt_lat,apt_lon,nearest_supermarket_id,supermarket_brand,sm_lat,sm_lon,distance_meters
"Neuhusstrasse 6, 8630 Rüti ZH, ZH",47.25217056274414,8.845796585083008,3831331529,,47.2571775,8.8501182,550.62
"Zürcherstrasse 1, 8173 Neerach, ZH",47.51333236694336,8.47485065460205,1851658783,,47.5117514,8.4777798,277.1
"Rotachstrasse 33, 8003 Zürich, ZH",47.370792388916016,8.514747619628906,1925758931,,47.3707927,8.5158561,92.28
"Wolframplatz 1, 8045 Zürich, ZH",47.362281799316406,8.52219295501709,267468996,,47.3648716,8.521006,237.17
"Badenerstrasse 67, 8953 Dietikon, ZH",47.40792465209961,8.392560958862305,2391327659,,47.405712,8.3922142,186.45
"Kanzleistrasse 15, 8418 Schlatt ZH, ZH",47.46419906616211,8.845925331115723,430050256,,47.4399399,8.8441583,2024.93
"Bolletweg 14, 8934 Knonau, ZH",47.22604370117188,8.46156120300293,475366082,Volg,47.2233658,8.4612376,224.56
"Im Zauner 24, 8352 Elsau, ZH",47.50167083740234,8.805103302001953,277730181,,47.4986607,8.7975435,677.41
"Maneggstrasse 87, 8041 Zürich, ZH",47.3379135131836,8.520033836364746,3721143528,Migros,47.3359942,8.5190003,181.48
"Haldenstrasse 67, 8602 Wangen b. Dübendorf, ZH",47.4155158996582,8.635632514953613,7796514373,Denner,47.4237905,8.6300135,832.68
"Hobelwerkweg 39a, 8404 Winterthur, ZH",47.50949478149414,8.762660026550293,8519878942,,47.5074367,8.7547051,684.05
"Hobelwerkweg 39a, 8404 Winterthur, ZH",47.50949478149414,8.762660026550293,8519878942,,47.5074367,8.7547051,684.05
"Albisriederstrasse 392a, 8047 Zürich, ZH",47.37469482421875,8.482722282409668,481443886,,47.3759665,8.4839506,147.19
"Tisliacherstrasse 8, 8320 Fehraltorf, ZH",47.383731842041016,8.760611534118652,3207982817,,47.3855486,8.7511254,804.07
"Buckwiesstrasse 12, 8700 Küsnacht ZH, ZH",47.31980514526367,8.59211254119873,5791885768,Migros,47.3184585,8.5819748,851.38
"Binzigerstrasse 52, 8707 Uetikon am See, ZH",47.26718521118164,8.689931869506836,472627966,,47.2554228,8.6897575,979.33
"Hinterdorfstr. 4, 8315 Lindau, ZH",47.44243621826172,8.671416282653809,471038991,Migros,47.4286522,8.685031,1612.9
"Dübendorfstrasse 22, 8602 Wangen b. Dübendorf, ZH",47.40997314453125,8.642498970031738,366931669,,47.4105284,8.6455184,255.58
"Limmatstrasse 260, 8005 Zürich, ZH",47.38913345336914,8.52584171295166,283126967,Coop,47.3925235,8.5245187,302.95
"Friedenweg 5, 8192 Glattfelden, ZH",47.55609893798828,8.506474494934082,289958399,,47.5568506,8.5028961,304.4
"Niederglatterstrasse 21, 8155 Niederhasli, ZH",47.48181915283203,8.487357139587402,310859990,Migros,47.4799969,8.485237099999999,232.73
"Marktgasse 17, 8400 Winterthur, ZH",47.49971008300781,8.729727745056152,709022324,,47.4984205,8.7291183,118.74
"Goldistenstrasse 23, 8625 Gossau ZH, ZH",47.30751037597656,8.764126777648926,2859755841,Denner,47.305898,8.7591158,438.23
"8152 Glattpark (Opfikon), ZH",47.42475509643555,8.563809394836426,8829494597,,47.4235853,8.5622034,165.41
"Hofackerstrasse 5, 8422 Pfungen, ZH",47.515235900878906,8.642589569091797,7380954135,Migros,47.5173965,8.6498136,627.72
"Untere Briggerstrasse 66, 8406 Winterthur, ZH",47.49394989013672,8.7112398147583,2324730434,,47.4948662,8.7127513,147.15
"Bergstrasse  16, 8955 Oetwil an der Limmat, ZH",47.42891693115234,8.398645401000977,427050152,,47.42204,8.4085612,1004.59
"Hagenholzstrasse 100, 8050 Zürich, ZH",47.41421508789063,8.558320045471191,2335085510,,47.4111941,8.5626146,437.12
"8303 Bassersdorf, ZH",47.44166946411133,8.630970001220703,305708461,Denner,47.4442213,8.6265829,422.52
"8152 Glattbrugg, ZH",47.43394470214844,8.5704927444458,1841363712,Migros,47.4341523,8.5676371,238.36
"8182 Hochfelden, ZH",47.52355194091797,8.51548957824707,6420691085,,47.5084462,8.5102061,1332.26
"Lehenstrasse 51, 8037 Zürich, ZH",47.39653015136719,8.523354530334473,283126967,Coop,47.3925235,8.5245187,347.35
"8180 Bülach, ZH",47.5200309753418,8.5663423538208,2723604508,,47.5309061,8.5808002,1506.11
"8340 Hinwil, ZH",47.29181289672852,8.820669174194336,796771382,,47.3066083,8.8179159,1252.86
"Aprikosenstrasse 5, 8051 Zürich, ZH",47.40581893920898,8.570385932922363,413334751,,47.404782,8.5718792,151.35
"8800 Thalwil, ZH",47.29733276367188,8.556255340576172,298540395,Coop,47.2965895,8.5620313,484.81
"8427 Rorbas, ZH",47.53139877319336,8.58006763458252,2723604508,,47.5309061,8.5808002,73.5
"Breitenstrasse 14, 8134 Adliswil, ZH",47.306339263916016,8.519155502319336,1608543461,Migros,47.3112966,8.5249665,635.88
"Wallisellerstrasse 24, 8152 Glattbrugg, ZH",47.43341827392578,8.568982124328613,1841363712,Migros,47.4341523,8.5676371,127.56
"8636 Wald ZH, ZH",47.27400588989258,8.915390968322754,664446565,Coop,47.2737942,8.9147916,52.92
"Wülflingerstrasse 25, 8400 Winterthur, ZH",47.50473785400391,8.71804428100586,307366252,,47.5084495,8.7178269,309.52
"8041 Zürich, ZH",47.32240295410156,8.51379680633545,2743729939,,47.3261834,8.514451,319.4
"Ida-Sträuli-Strasse 39, 8404 Winterthur, ZH",47.50312042236328,8.766748428344727,4471606823,,47.5037951,8.770855,346.46
"Chrüzweg 4, 8805 Richterswil, ZH",47.20819091796875,8.706659317016602,281442993,Coop,47.2084598,8.7057527,78.73
"Herbstweg 57, 8050 Zürich, ZH",47.40635299682617,8.561315536499023,2335085510,,47.4111941,8.5626146,417.28
"Fangletenstrasse 6, 8180 Bülach, ZH",47.52735137939453,8.53823471069336,6757436186,Coop,47.5269701,8.5359941,189.21
"8154 Oberglatt ZH, ZH",47.48006820678711,8.524243354797363,3890841888,,47.4741799,8.5156966,864.03
"Oberdorfstrasse, 8934 Knonau, ZH",47.22494125366211,8.4617280960083,475366082,Volg,47.2233658,8.4612376,137.37
"8004 Zürich, ZH",47.3746452331543,8.523855209350586,310789073,Denner,47.3748981,8.5234086,42.73
"Poststrasse, 8953 Dietikon, ZH",47.403568267822266,8.405932426452637,420847626,ALDI,47.4031872,8.40575,35.17
"Baurstrasse 29, 8008 Zürich, ZH",47.35592269897461,8.554497718811035,270692983,Coop,47.3579403,8.5546463,168.42
"Baurstrasse 29, 8008 Zürich, ZH",47.35592269897461,8.554497718811035,270692983,Coop,47.3579403,8.5546463,168.42
"Zentralstrasse 37, 8003 Zürich, ZH",47.37150573730469,8.519575119018555,352860119,Migros,47.3701218,8.5200924,123.0
"Alter Seeweg, 8124 Maur, ZH",47.33884811401367,8.672297477722168,643000290,,47.3393843,8.6716009,73.18
"Friedhofstrasse 9, 8104 Weiningen ZH, ZH",47.42219161987305,8.435792922973633,546676780,Spar,47.4393236,8.4412764,1497.51
"8049 Zürich, ZH",47.4071159362793,8.494709968566895,1835590613,Migros,47.4038519,8.4974554,355.07
"Dorfstrasse 2, 8309 Nürensdorf, ZH",47.45838928222656,8.638628959655762,656346712,Volg,47.464202,8.6397394,492.66
"Schulhausstrasse, 8180 Bülach, ZH",47.51849365234375,8.537640571594238,5031058832,Spar,47.5195778,8.5399264,210.61
"8400 Winterthur, ZH",47.49886703491211,8.722684860229492,3831772784,Migros,47.4991633,8.7211532,129.87
"Niderdürstelenstrasse 59, 8494 Bauma, ZH",47.37016296386719,8.855679512023926,303310841,Migros,47.3679847,8.8775826,1832.43
"Bucheggstrasse 130, 8057 Zürich, ZH",47.398319244384766,8.538369178771973,321361788,Coop,47.3957248,8.5404707,277.95
"8704 Herrliberg, ZH",47.28742218017578,8.617650032043457,1685145675,,47.2861037,8.6128216,416.68
"Mülibachstrasse 9, 8805 Richterswil, ZH",47.2037467956543,8.705288887023926,3620803915,ALDI,47.2051661,8.7066561,164.06
"Rauchackerstrasse 48, 8102 Oberengstringen, ZH",47.40972137451172,8.456247329711914,5501773279,,47.4106831,8.4578391,154.82
"Dättlikonerstrasse 4, 8422 Pfungen, ZH",47.51786804199219,8.638663291931152,7380954135,Migros,47.5173965,8.6498136,929.09
"Hagenbuchstrasse 29, 8192 Zweidlen, ZH",47.570011138916016,8.469552993774414,5295450795,Volg,47.5946766,8.4941268,2898.56
"Forchstrasse 84, 8008 Zürich, ZH",47.36206817626953,8.559245109558105,4857382066,,47.3604083,8.5633792,370.87
"Heiselstrasse 89, 8155 Niederhasli, ZH",47.483543395996094,8.496526718139648,4316877028,Spar,47.4800641,8.4902303,598.88
"Grosswiesenstr. 61, 8422 Pfungen, ZH",47.51723861694336,8.640911102294922,7380954135,Migros,47.5173965,8.6498136,741.25
"Obermattweg 3, 8545 Rickenbach ZH, ZH",47.54986953735352,8.794327735900879,8261369903,Volg,47.540963,8.7880083,909.15
"8002 Zürich, ZH",47.36497497558594,8.537369728088379,5658634794,Coop,47.3677811,8.5358482,265.74
