Address,Rooms,Area_m2,Price_per_m2,Municipality,Latitude,Longitude
"Neuhusstrasse 6, 8630 Rüti ZH, ZH",3.0,49.0,29.41,Rüti (ZH),47.25217056274414,8.845796585083008
"Zürcherstrasse 1, 8173 Neerach, ZH",3.5,65.0,28.46,Neerach,47.51333236694336,8.47485065460205
"Rotachstrasse 33, 8003 Zürich, ZH",2.0,49.0,88.47,Zürich,47.370792388916016,8.514747619628906
"Wolframplatz 1, 8045 Zürich, ZH",2.0,32.0,109.84,Zürich,47.362281799316406,8.52219295501709
"Badenerstrasse 67, 8953 Dietikon, ZH",3.5,105.0,30.48,Dietikon,47.40792465209961,8.392560958862305
"Kanzleistrasse 15, 8418 Schlatt ZH, ZH",4.5,104.0,25.96,Schlatt (ZH),47.46419906616211,8.845925331115723
"Bolletweg 14, 8934 Knonau, ZH",5.5,150.0,22.6,Knonau,47.22604370117188,8.46156120300293
"Im Zauner 24, 8352 Elsau, ZH",3.0,70.0,35.0,Elsau,47.50167083740234,8.805103302001953
"Maneggstrasse 87, 8041 Zürich, ZH",3.5,98.0,31.85,Zürich,47.3379135131836,8.520033836364746
"Haldenstrasse 67, 8602 Wangen b. Dübendorf, ZH",4.5,118.0,28.73,Wangen-Brüttisellen,47.4155158996582,8.635632514953613
"Hobelwerkweg 39a, 8404 Winterthur, ZH",3.5,86.0,22.91,Winterthur,47.50949478149414,8.762660026550293
"Hobelwerkweg 39a, 8404 Winterthur, ZH",3.5,71.0,22.96,Winterthur,47.50949478149414,8.762660026550293
"Albisriederstrasse 392a, 8047 Zürich, ZH",5.5,192.0,25.83,Zürich,47.37469482421875,8.482722282409668
"Tisliacherstrasse 8, 8320 Fehraltorf, ZH",5.5,166.0,21.08,Fehraltorf,47.383731842041016,8.760611534118652
"Buckwiesstrasse 12, 8700 Küsnacht ZH, ZH",5.5,232.0,36.64,Küsnacht (ZH),47.31980514526367,8.59211254119873
"Binzigerstrasse 52, 8707 Uetikon am See, ZH",6.5,300.0,0.04,Uetikon am See,47.26718521118164,8.689931869506836
"Hinterdorfstr. 4, 8315 Lindau, ZH",4.5,124.0,22.1,Lindau,47.44243621826172,8.671416282653809
"Dübendorfstrasse 22, 8602 Wangen b. Dübendorf, ZH",3.5,94.0,25.0,Wangen-Brüttisellen,47.40997314453125,8.642498970031738
"Limmatstrasse 260, 8005 Zürich, ZH",4.5,170.0,38.82,Zürich,47.38913345336914,8.52584171295166
"Friedenweg 5, 8192 Glattfelden, ZH",3.5,100.0,20.8,Glattfelden,47.55609893798828,8.506474494934082
"Niederglatterstrasse 21, 8155 Niederhasli, ZH",3.5,80.0,27.96,Niederhasli,47.48181915283203,8.487357139587402
"Marktgasse 17, 8400 Winterthur, ZH",4.5,160.0,20.0,Winterthur,47.49971008300781,8.729727745056152
"Goldistenstrasse 23, 8625 Gossau ZH, ZH",7.5,210.0,20.0,Gossau (ZH),47.30751037597656,8.764126777648926
"8152 Glattpark (Opfikon), ZH",2.5,78.0,35.26,Opfikon,47.42475509643555,8.563809394836426
"Hofackerstrasse 5, 8422 Pfungen, ZH",4.5,107.0,17.76,Pfungen,47.515235900878906,8.642589569091797
"Untere Briggerstrasse 66, 8406 Winterthur, ZH",3.5,88.0,25.5,Winterthur,47.49394989013672,8.7112398147583
"Bergstrasse  16, 8955 Oetwil an der Limmat, ZH",5.5,282.0,21.28,Oetwil an der Limmat,47.42891693115234,8.398645401000977
"Hagenholzstrasse 100, 8050 Zürich, ZH",4.5,141.0,23.47,Zürich,47.41421508789063,8.558320045471191
"8303 Bassersdorf, ZH",4.5,136.0,25.0,Bassersdorf,47.44166946411133,8.630970001220703
"8152 Glattbrugg, ZH",1.5,26.0,61.54,Opfikon,47.43394470214844,8.5704927444458
"8182 Hochfelden, ZH",5.5,148.0,20.22,Hochfelden,47.52355194091797,8.51548957824707
